id,address,type
6440,"94 Fay Street",Business
6441,"93 East Street",Residential
6442,"940 Orton Marotta Way",Business
6443,"469 Deaconess Road",Residential
6444,"1248 Summer Street",Business
6445,"54 Batterymarch Street",Residential
6446,"65 Dyer Avenue",Business
6447,"86 Northern Avenue",Residential
6448,"83 Park Plaza",Residential
6449,"7320 Evans Way",Business
6450,"662 Cummings Street",Residential
6451,"90 Richmond Street",Residential
6452,"310 Andrew Square",Residential
6453,"29 Hatch Street",Business
6454,"8777 Louisburg Square",Business
6455,"1612 Anderson Avenue",Residential
6456,"61 Beacon Street",Business
6457,"233 Clarendon Street",Business
6458,"393 Eagle Square",Business
6459,"736 Swift Street",Residential
6460,"75 E Dedham Street",Residential
6461,"482 Webster Street",Residential
6462,"421 Chatham Street",Residential
6463,"881 Fay Street",Residential
6464,"874 Opera Place",Residential
6465,"431 Silver Street",Residential
6466,"418 Fayette Street",Business
6467,"381 S Market Street",Residential
6468,"222 Causeway Street",Residential
6469,"88 Beverly Street",Business
6470,"988 Lennon Court",Warehouse
6471,"30 Lenox Street",Residential
6472,"549 Wesley Place",Business
6473,"121 Brooks Street",Business
6474,"96 Batterymarch Street",Business
6475,"71 Copps Hill Terrace",Residential
6476,"45 Avenue Louis Pasteur",Business
6477,"28 Derne Street",Business
6478,"693 Sanger Street",Residential
6479,"65 Cambridge Street Avenue",Business
6480,"25 Massachusetts Avenue",Residential
6481,"98 Frankfort Street",Warehouse
6482,"716 Fayette Street",Business
6483,"391 Bayswater Street",Residential
6484,"55 Scott Place",Residential
6485,"1549 Burrill Place",Business
6486,"934 Commercial Wharf W",Residential
6487,"44 Lathrop Place",Business
6488,"799 Trinity Place",Residential
6489,"745 Eliot Place",Business
6490,"83 Onslow Terrace",Business
6491,"795 Addison Street",Residential
6492,"15 Wharf Street",Business
6493,"994 Broad Street",Business
6494,"295 Boriken Street",Residential
6495,"3449 Columbia Street",Residential
6496,"66 Neptune Court",Residential
6497,"17 Bremen Place",Residential
6498,"48 State Route 28",Residential
6499,"651 Webster Street",Business
6500,"63 Park Drive",Business
6501,"35 Lovejoy Place",Residential
6502,"7 Martha Road",Residential
6503,"437 Beacon Street",Residential
6504,"4650 Pittsburgh Street",Residential
6505,"503 Swift Terrace",Business
6506,"89 Cahners Place",Residential
6507,"732 Lomasney Way",Residential
6508,"757 State Route 2a",Residential
6509,"588 Webster Street",Residential
6510,"919 E Street",Residential
6511,"71 Morton Street",Residential
6512,"348 William F McClellan Highway",Business
6513,"21 Thacher Street",Business
6514,"3804 Courthouse Way",Residential
6515,"260 H Street",Residential
6516,"66 Opera Place",Residential
6517,"707 Burnham Place",Residential
6518,"41 Gove Street",Residential
6519,"8996 E 3rd Street",Business
6520,"80 Exeter Place",Residential
6521,"54 Harvard Place",Residential
6522,"30 Paris Street",Residential
6523,"84 Knowlton Street",Residential
6524,"90 Ping on Street",Residential
6525,"84 Union Park Street",Residential
6526,"66 Sterling Square",Residential
6527,"256 Palermo Street",Residential
6528,"150 India Street",Residential
6529,"148 Oconnor Way",Residential
6530,"48 Clark Street",Residential
6531,"982 Lawrence Street",Residential
6532,"295 Hull Street Court",Residential
6533,"440 Bowker Street",Residential
6534,"27 C Street",Business
6535,"334 Cedar Lane Way",Residential
6536,"70 Riverway",Residential
6537,"9 Washington Street",Residential
6538,"695 Clearway Street",Residential
6539,"6 K Street Place",Residential
6540,"1672 Frawley Street",Residential
6541,"886 Sullivan Place",Business
6542,"3020 Darius Court",Business
6543,"763 Stoughton Street",Residential
6544,"727 B Street",Business
6545,"597 Hatch Street",Business
6546,"61 Pilsudski Way",Business
6547,"7 Rev Richard A Burke Street",Residential
6548,"1697 St James Avenue",Residential
6549,"86 Cambridge Street",Residential
6550,"59 Causeway Street",Residential
6551,"84 Village Court",Business
6552,"720 Lynde Street",Business
6553,"796 Kilmarnock Street",Residential
6554,"47 St Marys Street",Residential
6555,"8 Necco Court",Business
6556,"860 Wendell Place",Warehouse
6557,"54 Lenox Street",Residential
6558,"932 London Court",Business
6559,"83 E Newton Street",Business
6560,"788 Viking Street",Business
6561,"282 Rev Richard A Burke Street",Business
6562,"7752 City Hall Avenue",Business
6563,"46 Service Place",Residential
6564,"151 Bulfinch Place",Residential
6565,"4892 Rutland Street",Residential
6566,"91 Burke Street",Residential
6567,"224 Leland Place",Residential
6568,"767 Garden Court",Business
6569,"63 Beach Street",Business
6570,"54 Fenway Plaza",Business
6571,"7654 D Street",Business
6572,"58 Summer Street",Residential
6573,"728 Western Avenue",Business
6574,"65 Devine Way",Residential
6575,"3450 Deadys Lane",Residential
6576,"43 Everett Court",Residential
6577,"38 Otis Place",Business
6578,"948 Vining Street",Residential
6579,"4517 Fenwood Road",Business
6580,"202 Havre Street",Business
6581,"16 Frawley Street",Residential
6582,"69 Antrim Street",Business
6583,"935 Calvin Place",Business
6584,"581 Marginal Street",Residential
6585,"823 Boylston Street",Residential
6586,"89 Unity Street",Business
6587,"553 Barnard Place",Business
6588,"204 Horace Street",Residential
6589,"992 Sanger Street",Residential
6590,"880 Douglas Court",Business
6591,"38 Union Street",Residential
6592,"57 Powers Court",Residential
6593,"734 Lark Street",Residential
6594,"77 Neptune Terrace",Warehouse
6595,"393 Upton Street",Business
6596,"331 Herald Street",Residential
6597,"322 Vancouver Street",Residential
6598,"63 Bedford Street",Business
6599,"7545 S Bremen Street",Residential
6600,"515 Harrison Avenue",Residential
6601,"5621 Bakers Alley",Residential
6602,"36 Riverway",Business
6603,"88 Shelby Street",Residential
6604,"590 Ringold Street",Business
6605,"2225 St Botolph Street",Residential
6606,"877 Ward Court",Residential
6607,"661 Bradston Street",Business
6608,"224 Herald Street",Business
6609,"403 Kemble Place",Business
6610,"358 Taylor Street",Residential
6611,"175 Wadleigh Place",Residential
6612,"61 E 8th Street",Residential
6613,"1660 Breed Street",Residential
6614,"303 Shawsheen Road",Residential
6615,"406 North Square",Business
6616,"311 Margaret Street",Residential
6617,"67 Fairfield Place",Business
6618,"762 Knowlton Street",Residential
6619,"7 Butland Court",Residential
6620,"403 Stoughton Street",Business
6621,"19 Andrew Square",Business
6622,"21 Pinckney Street",Residential
6623,"69 W 9th Street",Business
6624,"68 Kempton Street",Residential
6625,"603 Lansdowne Street",Residential
6626,"233 Edgar Allan Poe Way",Business
6627,"41 E 9th Street",Business
6628,"755 Arundel Street",Residential
6629,"683 National Street",Business
6630,"61 Access Road",Business
6631,"7 Franklin Street",Business
6632,"354 Putnam Street",Business
6633,"525 Melcher Street",Residential
6634,"7421 Agassiz Road",Residential
6635,"399 Sterling Square",Residential
6636,"88 Northampton Place",Residential
6637,"99 Albemarle Court",Business
6638,"544 Chestnut Street",Residential
6639,"868 Dilworth Street",Business
6640,"937 Broadway",Residential
6641,"98 Appleton Street",Residential
6642,"910 Kenmore Street",Business
6643,"515 Shawmut Street",Residential
6644,"71 Joyce Hayes Way",Residential
6645,"825 Jersey Street",Residential
6646,"337 Seaport Lane",Residential
6647,"46 Burke Street",Residential
6648,"7080 Old Colony Avenue",Residential
6649,"9774 Ivanhoe Street",Residential
6650,"587 Emerson Place",Residential
6651,"952 Pilgrim Road",Business
6652,"52 N Bennet Street",Residential
6653,"535 East Street",Business
6654,"92 New Street",Residential
6655,"92 Morton Street",Residential
6656,"92 Fountain Place",Residential
6657,"694 San Juan Street",Business
6658,"8 Western Avenue",Residential
6659,"422 Cutler Court",Business
6660,"79 Merrimac Street",Business
6661,"7 K Street Place",Residential
6662,"601 Atlantic Avenue",Residential
6663,"7473 Lawson Place",Business
6664,"8255 Calvin Place",Residential
6665,"314 Telegraph Street",Residential
6666,"43 Province Street",Residential
6667,"45 Chester Square",Business
6668,"602 Morton Street",Residential
6669,"36 S Cedar Place",Residential
6670,"73 Hudson Street",Residential
6671,"20 Falcon Street",Business
6672,"744 Cypher Street",Residential
6673,"605 N Anderson Street",Business
6674,"172 Tufts Street",Residential
6675,"70 Walley Street",Business
6676,"24 Hassart Street",Residential
6677,"89 Haymarket Place",Residential
6678,"4686 Webster Place",Business
6679,"234 F Street",Business
6680,"811 Lexington Square",Residential
6681,"5 Lamson Street",Residential
6682,"4446 Board Alley",Business
6683,"415 E 1st Street",Residential
6684,"403 Bullock Street",Residential
6685,"459 Coburn Court",Business
6686,"869 Swift Terrace",Residential
6687,"719 W 3rd Street Place",Residential
6688,"19 Silver Place",Residential
6689,"45 Gilbert Place",Residential
6690,"5 C Street",Residential
6691,"70 Ringold Street",Business
6692,"93 Belvidere Street",Residential
6693,"28 Marginal Street",Business
6694,"11 Peterborough Street",Residential
6695,"330 Wharf Street",Residential
6696,"159 Lauten Place",Residential
6697,"43 Mercer Street",Residential
6698,"74 Jason Terrace",Business
6699,"121 Shattuck Street",Residential
6700,"510 Vancouver Street",Residential
6701,"12 Kemble Place",Residential
6702,"62 Capstan Way",Residential
6703,"18 Dresser Street",Residential
6704,"80 Thomson Place",Residential
6705,"96 Rev Richard A Burke Street",Residential
6706,"405 Burlington Avenue",Business
6707,"791 P Street",Residential
6708,"86 M Street Place",Residential
6709,"79 Schrepel Place",Residential
6710,"6656 Salutation Street",Business
6711,"826 Father Songin Way",Residential
6712,"3528 Appleton Street",Residential
6713,"42 Whittier Place",Business
6714,"94 Emmet Street",Residential
6715,"4209 Father Songin Way",Residential
6716,"376 Wharf Street",Residential
6717,"44 Msgr O'Callaghan Way",Residential
6718,"12 Boylston Street",Residential
6719,"2100 Miner Street",Business
6720,"654 Emmet Place",Residential
6721,"2 Cornhill Street",Residential
6722,"38 Crowley Rogers Way",Business
6723,"922 St Stephen Street",Residential
6724,"499 Canal Street",Business
6725,"543 Parmenter Street",Business
6726,"14 Massachusetts Avenue",Business
6727,"64 Tufts Street",Residential
6728,"938 Ridgeway Lane",Residential
6729,"394 Boriken Street",Residential
6730,"870 Queensberry Street",Business
6731,"64 Oxford Place",Business
6732,"1932 Lewis Street",Residential
6733,"5587 Atkinson Street",Residential
6734,"931 Access Road",Residential
6735,"509 Bowdoin Street",Residential
6736,"467 Ticknor Street",Residential
6737,"23 Van Rensselaer Place",Residential
6738,"106 Arch Street",Residential
6739,"8900 Well Street",Business
6740,"7161 Tremont Place",Business
6741,"39 Theodore Glynn Way",Residential
6742,"906 Neptune Court",Residential
6743,"929 Vancouver Street",Residential
6744,"59 Carpenter Street",Residential
6745,"92 Sentry Hill Place",Business
6746,"98 Dyer Avenue",Business
6747,"24 Hanover Avenue",Business
6748,"37 Ford Street",Business
6749,"11 Beacon Street",Business
6750,"398 Garden Street",Residential
6751,"17 Summer Street",Business
6752,"349 Orton Marotta Way",Business
6753,"898 Ash Street",Residential
6754,"5662 St Botolph Street",Business
6755,"95 North Street",Residential
6756,"57 Sewall Place",Residential
6757,"38 Kendall Street",Residential
6758,"47 Grady Court",Residential
6759,"316 Evans Way",Residential
6760,"12 Plymouth Street",Residential
6761,"69 Old Colony Avenue",Business
6762,"98 Norway Street",Business
6763,"9160 Lawrence Street",Residential
6764,"778 Kilby Place",Residential
6765,"82 Constitution Wharf",Business
6766,"36 Earl Street",Business
6767,"824 Lincoln Street",Residential
6768,"3 Ticknor Street",Residential
6769,"630 Liberty Place",Business
6770,"50 Hardy Street",Residential
6771,"886 Harcourt Street",Residential
6772,"265 Constitution Wharf",Residential
6773,"9241 Foodmart Road",Residential
6774,"69 Mechanic Street",Residential
6775,"8280 Court Street",Business
6776,"4812 Warren Avenue",Business
6777,"74 Plymouth Street",Residential
6778,"294 Hancock Street",Residential
6779,"136 Harcourt Street",Residential
6780,"2 Nelson Court",Residential
6781,"4063 Seaport Lane",Residential
6782,"48 Princeton Place",Residential
6783,"6002 Stillman Street",Residential
6784,"97 Courthouse Way",Business
6785,"483 State Route 2",Residential
6786,"336 Commonwealth Avenue",Residential
6787,"2722 Lime Street",Business
6788,"0 Arlington Street",Residential
6789,"324 Winthrop Square",Residential
6790,"501 Baxter Street",Residential
6791,"926 US Highway 20",Residential
6792,"522 Fleet Street",Residential
6793,"19 Lawrence Street",Residential
6794,"119 Atlantic Street",Business
6795,"663 Havre Street",Residential
6796,"778 Claremont Street",Residential
6797,"14 Bradford Street",Business
6798,"66 Saint Andrew Road",Residential
6799,"716 Emerson Street",Residential
6800,"55 Douglas Court",Business
6801,"997 Bay State Place",Residential
6802,"86 Arch Street",Residential
6803,"4507 Cleveland Place",Residential
6804,"5 Teregram Street",Residential
6805,"855 Hadassah Way",Residential
6806,"63 W 3rd Street",Residential
6807,"749 Barrett Avenue",Residential
6808,"523 Massachusetts Avenue",Residential
6809,"3272 Ted Williams Way",Residential
6810,"6 Durham Street",Business
6811,"710 Spruce Place",Business
6812,"5 E Broadway",Residential
6813,"7179 Trenton Street",Residential
6814,"393 Crestway Road",Business
6815,"1682 Fid Kennedy Avenue",Residential
6816,"473 Binford Street",Residential
6817,"85 Ivanhoe Street",Residential
6818,"451 Massachusetts Avenue",Business
6819,"14 Lewis Street",Residential
6820,"86 Davis Court",Business
6821,"5 Laconia Street",Business
6822,"5 Jenton Way",Business
6823,"37 Yarmouth Street",Residential
6824,"24 Hardy Street",Residential
6825,"9151 Fenway",Residential
